peg_id,f_easting,f_northing,f_elevation,f_horizontal_acc,f_vertical_acc,d_easting,d_northing,d_elevation,d_horizontal_acc,d_vertical_acc,w_easting,w_northing,w_elevation,w_horizontal_acc,w_vertical_acc
1,388966.244215181,804986.715684447,17.3634191376822,0.01,0.017,388966.157502272,804987.326959627,17.6288982500004,2.30178539873962,0.128184388221702,388966.244215181,804986.715684447,17.3634191376822,0.01,0.017
2,388935.063541235,804995.09055332,17.6368709248115,0.011,0.019,388934.370647654,804995.279951359,17.6234375219447,0.412762428906871,0.125869305651985,388935.063541235,804995.09055332,17.6368709248115,0.011,0.019
3,388915.075273975,804996.153457194,17.7877026104911,0.009,0.016,388914.152067957,804995.994655465,17.8278163659004,0.314345337251708,0.0587014361896842,388915.075273975,804996.153457194,17.7877026104911,0.009,0.016
4,388856.090331836,805002.344260188,18.0595830964463,0.008,0.015,388855.728567806,805002.293566497,18.0547640646325,0.25621669254977,0.0703146392037816,388856.090331836,805002.344260188,18.0595830964463,0.008,0.015
5,388871.372700066,805052.517883532,18.878312752584,0.24942469184408,0.254906474488049,388871.372700066,805052.517883532,18.878312752584,0.24942469184408,0.254906474488049,388871.148920533,805051.235521984,18.0537993626842,0.651,0.742
6,388872.001851406,805053.206519409,18.9675629352531,0.029,0.058,388872.10172163,805053.441969418,18.9742299680566,0.286381611966199,0.255925430965309,388872.001851406,805053.206519409,18.9675629352531,0.029,0.058
7,388932.391134112,805058.134868827,17.6019334140775,0.007,0.012,388984.044878729,805005.363576023,6.59479086269318,18.6307124149137,2.76440411729962,388932.391134112,805058.134868827,17.6019334140775,0.007,0.012
8,388937.197040928,805075.683385045,17.524392136569,0.028,0.042,388936.109738351,805069.117388635,17.960162666729,22.341515719172,2.74452102687938,388937.197040928,805075.683385045,17.524392136569,0.028,0.042
9,388955.744800005,805082.237106951,17.4528703741937,0.047,0.049,388955.789272098,805082.282830463,17.4588977255332,0.226549781106113,0.249113601391652,388955.744800005,805082.237106951,17.4528703741937,0.047,0.049
10,388954.281801683,805116.843253869,17.4183183741342,0.026,0.049,388954.343677233,805117.125286826,17.4185598008915,0.235952264439258,0.252000347516134,388954.281801683,805116.843253869,17.4183183741342,0.026,0.049
11,388965.871412074,805075.856197656,17.6600665119472,0.073,0.121,388966.000915771,805075.509142236,17.5169781313501,0.283594969572034,0.178063163367311,388965.871412074,805075.856197656,17.6600665119472,0.073,0.121
12,388972.678640148,805071.860966532,17.8284787987565,0.225,0.284,388973.268050607,805071.492358071,18.1642561998495,0.350296552956606,0.252931555140875,388972.678640148,805071.860966532,17.8284787987565,0.225,0.284
13,388980.802356399,805067.165133354,19.3338263213766,0.279553355194595,0.260493557594264,388980.802356399,805067.165133354,19.3338263213766,0.279553355194595,0.260493557594264,388979.944478681,805067.680130819,17.8860351537776,0.45,0.521
14,388987.676840459,805026.168007839,17.1544499563237,0.025,0.038,388987.43956031,805026.440698923,20.4641739500745,0.218465744359713,0.222813691896775,388987.676840459,805026.168007839,17.1544499563237,0.025,0.038
15,388986.830972893,805016.428077657,17.1337563554109,0.014,0.023,388986.891974056,805016.468845383,17.056823717138,0.240624710074584,0.290410019523111,388986.830972893,805016.428077657,17.1337563554109,0.014,0.023
